epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5468,1.19292,3.41022,1.295,0.03678,0.82823,0.13315,0.10046,0.9667,3.25246,1.05107,0.00013842,0.00013842,0.00013842
2,55.1569,1.03533,2.30891,1.18861,0.05419,0.9431,0.1866,0.13466,0.99622,2.7681,1.07619,0.000256362,0.000256362,0.000256362
3,60.3813,0.99637,1.74651,1.15697,0.8681,0.18205,0.26665,0.19063,0.9445,2.20924,1.05194,0.000345373,0.000345373,0.000345373
4,65.3658,0.95121,1.51242,1.14073,0.76929,0.2545,0.32194,0.22784,0.92472,1.79207,1.05232,0.000405455,0.000405455,0.000405455
5,70.3467,0.92274,1.33461,1.122,0.53928,0.45227,0.37679,0.2706,0.93753,1.27951,1.05327,0.000436607,0.000436607,0.000436607
6,75.8535,0.92922,1.24146,1.12247,0.51227,0.54058,0.46828,0.34666,0.89746,1.16252,1.05292,0.000388345,0.000388345,0.000388345
7,80.9959,0.89832,1.15961,1.11152,0.69416,0.49913,0.49263,0.37225,0.86515,0.97096,1.04001,0.000312214,0.000312214,0.000312214
8,86.3275,0.8719,1.07235,1.08683,0.68936,0.54066,0.51595,0.39149,0.86939,0.94912,1.04519,0.000236083,0.000236083,0.000236083
9,91.3222,0.86153,1.03821,1.09136,0.705,0.54845,0.53058,0.40514,0.86782,0.87526,1.02777,0.000159952,0.000159952,0.000159952
10,96.4044,0.87064,1.02325,1.08648,0.7025,0.54995,0.51937,0.39677,0.84959,0.85342,1.03183,8.3821e-05,8.3821e-05,8.3821e-05
