epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,3604.25,0.53575,0.94988,0.45299,1.04438,0.84625,0.88417,0.8985,0.70729,0.83594,0.85826,0.87788,0.67175,0.54375,0.97174,0.48263,0.9313,0.000636762,0.000636762,0.000636762
30,3638.17,0.53954,0.95161,0.44274,1.04865,0.89513,0.85415,0.90958,0.68804,0.88453,0.84466,0.88889,0.66476,0.56954,0.99513,0.4957,0.9528,0.000608468,0.000608468,0.000608468
31,3671.98,0.54575,0.95231,0.4521,1.04673,0.89721,0.87457,0.90924,0.71044,0.8826,0.8604,0.89883,0.67389,0.52049,0.98816,0.45526,0.90351,0.000580174,0.000580174,0.000580174
32,3706.25,0.53474,0.93682,0.43751,1.0435,0.85254,0.89626,0.91252,0.72301,0.86151,0.8711,0.89946,0.68408,0.52578,0.89109,0.48263,0.89988,0.00055188,0.00055188,0.00055188
33,3739.94,0.52438,0.93275,0.4243,1.0414,0.92135,0.83972,0.92096,0.72724,0.92424,0.84196,0.9073,0.69699,0.52375,0.87121,0.45288,0.90331,0.000523586,0.000523586,0.000523586
34,3773.61,0.51933,0.91721,0.43132,1.03372,0.90266,0.88026,0.92168,0.7309,0.89931,0.83786,0.90472,0.69261,0.50692,0.8996,0.41376,0.87883,0.000495291,0.000495291,0.000495291
35,3807.07,0.51182,0.91794,0.4204,1.03123,0.88183,0.89029,0.91694,0.72458,0.87728,0.88549,0.90645,0.69477,0.50329,0.88529,0.42634,0.88848,0.000466997,0.000466997,0.000466997
36,3841.04,0.50069,0.89118,0.40414,1.02925,0.88094,0.8651,0.91442,0.72813,0.89497,0.8418,0.90254,0.69326,0.49825,0.85764,0.42637,0.88381,0.000438703,0.000438703,0.000438703
37,3875,0.50959,0.87295,0.41241,1.03044,0.93617,0.83271,0.92601,0.73494,0.87687,0.87795,0.91058,0.70316,0.50034,0.88758,0.44094,0.89169,0.000410409,0.000410409,0.000410409
38,3909.14,0.50428,0.87175,0.40109,1.01477,0.93192,0.83682,0.91793,0.73898,0.92216,0.83846,0.91186,0.70035,0.48075,0.85141,0.41304,0.8505,0.000382115,0.000382115,0.000382115
39,3943.25,0.48959,0.85881,0.38513,1.00744,0.89788,0.85148,0.9153,0.72653,0.89788,0.85148,0.9011,0.69036,0.5222,0.85039,0.44598,0.90967,0.00035382,0.00035382,0.00035382
40,3977.15,0.49429,0.85138,0.39143,1.01686,0.89938,0.84525,0.91628,0.73764,0.8775,0.84198,0.90936,0.70007,0.47159,0.87103,0.41578,0.84466,0.000325526,0.000325526,0.000325526
41,4028.74,0.42113,0.79156,0.37595,1.04308,0.92175,0.8256,0.91697,0.73156,0.87317,0.84964,0.90488,0.69206,0.51174,0.8972,0.41701,0.88329,0.000297232,0.000297232,0.000297232
42,4062.17,0.41136,0.74507,0.3367,1.02914,0.88838,0.86395,0.92441,0.75151,0.88401,0.85987,0.9095,0.70833,0.4517,0.84578,0.39127,0.83005,0.000268938,0.000268938,0.000268938
43,4095.25,0.39105,0.72587,0.31082,1.00373,0.90821,0.86809,0.9335,0.75477,0.90416,0.84472,0.91688,0.70723,0.45629,0.87387,0.39777,0.82798,0.000240644,0.000240644,0.000240644
44,4128.52,0.38518,0.73476,0.30971,1.00554,0.90794,0.88168,0.92387,0.75293,0.88957,0.86494,0.90766,0.71135,0.44704,0.86158,0.37587,0.8095,0.000212349,0.000212349,0.000212349
45,4162.53,0.38435,0.71947,0.29664,1.0055,0.88545,0.91335,0.93962,0.76487,0.87867,0.89864,0.9273,0.72538,0.44297,0.86894,0.35324,0.80385,0.000184055,0.000184055,0.000184055
46,4196.49,0.36323,0.68294,0.29596,0.98647,0.87861,0.9076,0.94218,0.76688,0.91671,0.86082,0.93067,0.72204,0.45056,0.88341,0.36013,0.81432,0.000155761,0.000155761,0.000155761
47,4229.87,0.36517,0.70059,0.2929,0.99099,0.89307,0.90011,0.93813,0.76784,0.90482,0.90523,0.92866,0.73073,0.44316,0.86788,0.34893,0.80639,0.000127467,0.000127467,0.000127467
48,4263.18,0.34965,0.67977,0.27689,0.97879,0.92203,0.8555,0.94127,0.75952,0.92203,0.8555,0.91766,0.72397,0.4341,0.86661,0.35357,0.79569,9.91726e-05,9.91726e-05,9.91726e-05
49,4296.5,0.34847,0.66388,0.27234,0.98296,0.93092,0.85894,0.93703,0.76392,0.93017,0.86086,0.92406,0.72557,0.43508,0.8673,0.35252,0.79848,7.08784e-05,7.08784e-05,7.08784e-05
50,4329.91,0.35022,0.66686,0.26904,0.96925,0.90513,0.89195,0.9369,0.76441,0.90017,0.88715,0.923,0.72619,0.43518,0.87912,0.34898,0.7963,4.25842e-05,4.25842e-05,4.25842e-05
