epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.99257,1.25376,3.53572,1.30698,0.04725,0.91379,0.13459,0.10118,0.91414,3.25939,0.99078,0.00013842,0.00013842,0.00013842
2,14.2378,1.10321,2.4981,1.2016,0.06127,0.92973,0.14964,0.11242,0.95818,3.00043,1.07084,0.000281713,0.000281713,0.000281713
3,20.3262,1.06487,1.91212,1.18776,0.86615,0.26458,0.30225,0.21562,1.00022,1.99395,1.12315,0.000422113,0.000422113,0.000422113
4,27.6757,1.02869,1.64147,1.17397,0.54165,0.39908,0.38111,0.27824,0.93037,1.43871,1.0634,0.000559621,0.000559621,0.000559621
5,33.9644,1.02251,1.42045,1.1646,0.46049,0.57102,0.42455,0.30558,0.92766,1.22867,1.05304,0.000694235,0.000694235,0.000694235
